time,Frequency
04/11,64
05/11,69
06/11,37
07/11,31
08/11,27
09/11,35
10/11,24
11/11,29
12/11,23
01/12,32
02/12,49
03/12,34
04/12,102
05/12,76
06/12,67
07/12,60
08/12,60
09/12,73
10/12,70
11/12,51
12/12,65
01/13,43
02/13,36
03/13,33
04/13,29
05/13,52
06/13,29
07/13,26
08/13,19
09/13,38
10/13,26
11/13,30
12/13,67
01/14,68
02/14,73
03/14,67
04/14,51
05/14,87
06/14,82
07/14,87
08/14,114
09/14,105
10/14,112
11/14,108
12/14,82
01/15,85
02/15,58
03/15,93
04/15,84
05/15,87
06/15,59
07/15,55
08/15,111
09/15,88
10/15,61
11/15,75
12/15,64
01/16,63
02/16,107
03/16,103
04/16,70
05/16,92
06/16,76
07/16,67
08/16,91
09/16,127
10/16,141
11/16,81
12/16,146
01/17,196
02/17,150
03/17,185
04/17,147
05/17,158
06/17,143
07/17,106
08/17,131
09/17,112
10/17,112
11/17,95
12/17,97
01/18,71
02/18,76
03/18,90
04/18,102
05/18,89
06/18,88
07/18,56
08/18,73
09/18,228
10/18,541
11/18,403
12/18,450
01/19,479
02/19,696
03/19,1087
04/19,1786
05/19,1438
06/19,1097
07/19,970
08/19,959
09/19,989
10/19,991
11/19,956
12/19,952
01/20,804
02/20,784
03/20,1059
04/20,1305
05/20,1500
06/20,2008
07/20,2381
08/20,2516
09/20,2209
10/20,2462
11/20,2732
12/20,2660
01/21,3007
02/21,2976
03/21,3197
04/21,1638
