time,Frequency
2014-03-16,2
2014-09-14,1
2015-03-29,1
2017-03-19,1
2018-09-16,56
2018-09-23,101
2018-09-30,233
2018-10-07,283
2018-10-14,249
2018-10-21,246
2018-10-28,258
2018-11-04,202
2018-11-11,249
2018-11-18,238
2018-11-25,207
2018-12-02,180
2018-12-09,227
2018-12-16,218
2018-12-23,153
2018-12-30,145
2019-01-06,144
2019-01-13,138
2019-01-20,171
2019-01-27,182
2019-02-03,179
2019-02-10,201
2019-02-17,241
2019-02-24,212
2019-03-03,234
2019-03-10,209
2019-03-17,195
2019-03-24,383
2019-03-31,358
2019-04-07,524
2019-04-14,585
2019-04-21,414
2019-04-28,483
2019-05-05,403
2019-05-12,366
2019-05-19,365
2019-05-26,347
2019-06-02,311
2019-06-09,294
2019-06-16,273
2019-06-23,308
2019-06-30,321
2019-07-07,289
2019-07-14,228
2019-07-21,239
2019-07-28,264
2019-08-04,291
2019-08-11,251
2019-08-18,289
2019-08-25,245
2019-09-01,330
2019-09-08,298
2019-09-15,309
2019-09-22,273
2019-09-29,297
2019-10-06,297
2019-10-13,300
2019-10-20,252
2019-10-27,320
2019-11-03,287
2019-11-10,284
2019-11-17,251
2019-11-24,324
2019-12-01,414
2019-12-08,402
2019-12-15,299
2019-12-22,278
2019-12-29,197
2020-01-05,212
2020-01-12,238
2020-01-19,253
2020-01-26,226
2020-02-02,220
2020-02-09,273
2020-02-16,222
2020-02-23,278
2020-03-01,229
2020-03-08,263
2020-03-15,284
2020-03-22,330
2020-03-29,372
2020-04-05,353
2020-04-12,373
2020-04-19,407
2020-04-26,375
2020-05-03,410
2020-05-10,408
2020-05-17,378
2020-05-24,470
2020-05-31,593
2020-06-07,700
2020-06-14,583
2020-06-21,553
2020-06-28,661
2020-07-05,692
2020-07-12,716
2020-07-19,618
2020-07-26,715
2020-08-02,599
2020-08-09,624
2020-08-16,777
2020-08-23,716
2020-08-30,638
2020-09-06,679
2020-09-13,525
2020-09-20,548
2020-09-27,622
2020-10-04,571
2020-10-11,600
2020-10-18,615
2020-10-25,646
2020-11-01,731
2020-11-08,706
2020-11-15,704
2020-11-22,754
2020-11-29,649
2020-12-06,859
2020-12-13,952
2020-12-20,755
2020-12-27,652
2021-01-03,653
2021-01-10,772
2021-01-17,873
2021-01-24,943
2021-01-31,1024
2021-02-07,993
2021-02-14,998
2021-02-21,910
2021-02-28,865
2021-03-07,900
2021-03-14,929
2021-03-21,897
2021-03-28,993
2021-04-04,810
2021-04-11,929
2021-04-18,290
