time,Frequency
2011-05-01,68
2011-05-08,27
2011-05-15,15
2011-05-22,13
2011-05-29,5
2011-06-05,10
2011-06-12,7
2011-06-19,5
2011-06-26,16
2011-07-03,6
2011-07-10,6
2011-07-17,7
2011-07-24,6
2011-07-31,10
2011-08-07,6
2011-08-14,5
2011-08-21,3
2011-08-28,9
2011-09-04,9
2011-09-11,7
2011-09-18,7
2011-09-25,14
2011-10-02,4
2011-10-09,8
2011-10-16,5
2011-10-23,5
2011-10-30,3
2011-11-06,11
2011-11-13,4
2011-11-20,5
2011-11-27,10
2011-12-04,1
2011-12-11,6
2011-12-18,4
2011-12-25,5
2012-01-01,8
2012-01-08,6
2012-01-15,7
2012-01-22,6
2012-01-29,9
2012-02-05,13
2012-02-12,11
2012-02-19,9
2012-02-26,15
2012-03-04,8
2012-03-11,10
2012-03-18,8
2012-03-25,4
2012-04-01,8
2012-04-08,6
2012-04-15,6
2012-04-22,11
2012-04-29,75
2012-05-06,29
2012-05-13,17
2012-05-20,20
2012-05-27,10
2012-06-03,9
2012-06-10,11
2012-06-17,14
2012-06-24,16
2012-07-01,23
2012-07-08,11
2012-07-15,18
2012-07-22,15
2012-07-29,12
2012-08-05,11
2012-08-12,10
2012-08-19,11
2012-08-26,17
2012-09-02,15
2012-09-09,18
2012-09-16,23
2012-09-23,18
2012-09-30,12
2012-10-07,23
2012-10-14,17
2012-10-21,15
2012-10-28,13
2012-11-04,7
2012-11-11,10
2012-11-18,11
2012-11-25,7
2012-12-02,22
2012-12-09,14
2012-12-16,19
2012-12-23,12
2012-12-30,14
2013-01-06,17
2013-01-13,8
2013-01-20,8
2013-01-27,7
2013-02-03,10
2013-02-10,8
2013-02-17,6
2013-02-24,7
2013-03-03,13
2013-03-10,6
2013-03-17,10
2013-03-24,7
2013-03-31,7
2013-04-07,6
2013-04-14,7
2013-04-21,10
2013-04-28,6
2013-05-05,11
2013-05-12,3
2013-05-19,4
2013-05-26,29
2013-06-02,6
2013-06-09,5
2013-06-16,7
2013-06-23,4
2013-06-30,12
2013-07-07,2
2013-07-14,7
2013-07-21,10
2013-07-28,6
2013-08-04,4
2013-08-11,4
2013-08-18,5
2013-08-25,3
2013-09-01,5
2013-09-08,7
2013-09-15,9
2013-09-22,13
2013-09-29,7
2013-10-06,5
2013-10-13,11
2013-10-20,5
2013-10-27,1
2013-11-03,5
2013-11-10,5
2013-11-17,3
2013-11-24,9
2013-12-01,15
2013-12-08,8
2013-12-15,10
2013-12-22,22
2013-12-29,23
2014-01-05,10
2014-01-12,19
2014-01-19,15
2014-01-26,15
2014-02-02,17
2014-02-09,16
2014-02-16,28
2014-02-23,13
2014-03-02,14
2014-03-09,17
2014-03-16,20
2014-03-23,13
2014-03-30,10
2014-04-06,15
2014-04-13,12
2014-04-20,9
2014-04-27,15
2014-05-04,15
2014-05-11,34
2014-05-18,20
2014-05-25,12
2014-06-01,11
2014-06-08,20
2014-06-15,11
2014-06-22,25
2014-06-29,22
2014-07-06,29
2014-07-13,28
2014-07-20,14
2014-07-27,11
2014-08-03,10
2014-08-10,17
2014-08-17,32
2014-08-24,40
2014-08-31,22
2014-09-07,23
2014-09-14,25
2014-09-21,22
2014-09-28,30
2014-10-05,19
2014-10-12,32
2014-10-19,19
2014-10-26,25
2014-11-02,30
2014-11-09,37
2014-11-16,30
2014-11-23,19
2014-11-30,14
2014-12-07,23
2014-12-14,25
2014-12-21,11
2014-12-28,14
2015-01-04,24
2015-01-11,15
2015-01-18,17
2015-01-25,19
2015-02-01,21
2015-02-08,14
2015-02-15,18
2015-02-22,12
2015-03-01,14
2015-03-08,18
2015-03-15,29
2015-03-22,13
2015-03-29,28
2015-04-05,19
2015-04-12,22
2015-04-19,22
2015-04-26,16
2015-05-03,16
2015-05-10,10
2015-05-17,29
2015-05-24,24
2015-05-31,16
2015-06-07,18
2015-06-14,8
2015-06-21,12
2015-06-28,11
2015-07-05,13
2015-07-12,13
2015-07-19,16
2015-07-26,14
2015-08-02,13
2015-08-09,31
2015-08-16,15
2015-08-23,26
2015-08-30,34
2015-09-06,18
2015-09-13,17
2015-09-20,19
